,Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
47,Dominican Republic,,,2019,Both sexes,506.4565,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,DOM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,26.94,,,7.62,,41.94,27 [8-42],,,EN,2024-10-02T22:00:00.000Z
48,Ecuador,,,2019,Both sexes,364.6559,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,ECU,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,22.76,,,16.58,,29.25,23 [17-29],,,EN,2024-10-02T22:00:00.000Z
50,El Salvador,,,2019,Both sexes,392.6714,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,SLV,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,31.06,,,21.22,,40.19,31 [21-40],,,EN,2024-10-02T22:00:00.000Z
53,Estonia,,,2019,Both sexes,426.4981,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,EST,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,12.8,,,7.27,,18.29,13 [7-18],,,EN,2024-10-02T22:00:00.000Z
57,Finland,,,2019,Both sexes,334.3098,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,FIN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,7.45,,,4.05,,10.66,7 [4-11],,,EN,2024-10-02T22:00:00.000Z
58,France,,,2019,Both sexes,290.0675,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,FRA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10.03,,,7.28,,13.02,10 [7-13],,,EN,2024-10-02T22:00:00.000Z
61,Georgia,,,2019,Both sexes,695.3605,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,GEO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,69.19,,,49.13,,88.71,69 [49-89],,,EN,2024-10-02T22:00:00.000Z
62,Germany,,,2019,Both sexes,329.293,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,DEU,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,14.73,,,10.07,,19.18,15 [10-19],,,EN,2024-10-02T22:00:00.000Z
64,Greece,,,2019,Both sexes,329.0385,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,GRC,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,23.05,,,17.42,,28.83,23 [17-29],,,EN,2024-10-02T22:00:00.000Z
65,Grenada,,,2019,Both sexes,617.9438,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,GRD,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,30.37,,,19.62,,40.87,30 [20-41],,,EN,2024-10-02T22:00:00.000Z
66,Guatemala,,,2019,Both sexes,496.5364,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,GTM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,40.41,,,29.62,,51.4,40 [30-51],,,EN,2024-10-02T22:00:00.000Z
69,Guyana,,,2019,Both sexes,800.5491,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,GUY,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,52.17,,,26.41,,76.88,52 [26-77],,,EN,2024-10-02T22:00:00.000Z
70,Haiti,,,2019,Both sexes,837.3337,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,HTI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,50.67,,,21.98,,77.72,51 [22-78],,,EN,2024-10-02T22:00:00.000Z
71,Honduras,,,2019,Both sexes,613.4653,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,HND,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,48.99,,,35.0,,63.74,49 [35-64],,,EN,2024-10-02T22:00:00.000Z
72,Hungary,,,2019,Both sexes,554.4997,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,HUN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,42.29,,,29.7,,53.61,42 [30-54],,,EN,2024-10-02T22:00:00.000Z
73,Iceland,,,2019,Both sexes,304.9298,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,ISL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,8.16,,,4.67,,12.2,8 [5-12],,,EN,2024-10-02T22:00:00.000Z
78,Ireland,,,2019,Both sexes,326.8401,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,IRL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,12.78,,,8.45,,17.25,13 [8-17],,,EN,2024-10-02T22:00:00.000Z
79,Israel,,,2019,Both sexes,285.2773,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,ISR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,15.12,,,11.83,,18.71,15 [12-19],,,EN,2024-10-02T22:00:00.000Z
80,Italy,,,2019,Both sexes,289.0596,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,ITA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,15.0,,,10.96,,18.97,15 [11-19],,,EN,2024-10-02T22:00:00.000Z
81,Jamaica,,,2019,Both sexes,454.3693,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,JAM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,21.63,,,15.44,,28.59,22 [15-29],,,EN,2024-10-02T22:00:00.000Z
84,Kazakhstan,,,2019,Both sexes,620.8768,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,KAZ,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,68.43,,,50.1,,87.28,68 [50-87],,,EN,2024-10-02T22:00:00.000Z
88,Kyrgyzstan,,,2019,Both sexes,588.149,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,KGZ,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,88.76,,,67.04,,113.2,89 [67-113],,,EN,2024-10-02T22:00:00.000Z
90,Latvia,,,2019,Both sexes,558.6684,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,LVA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,40.11,,,27.29,,51.98,40 [27-52],,,EN,2024-10-02T22:00:00.000Z
