,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
74,Iceland,2004,Both sexes,,1.0,,Europe,2004,Both sexes,,0.9,,Europe
79,Ireland,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,1.6,,Europe
80,Israel,2004,Both sexes,,4.9,,Europe,2004,Both sexes,,0.8,,Europe
81,Italy,2004,Both sexes,,0.9,,Europe,2004,Both sexes,,0.2,,Europe
83,Japan,2004,Both sexes,,0.5,,Western Pacific,2004,Both sexes,,0.3,,Western Pacific
85,Kazakhstan,2004,Both sexes,,16.2,,Europe,2004,Both sexes,,3.1,,Europe
88,Kyrgyzstan,2004,Both sexes,,9.8,,Europe,2004,Both sexes,,1.7000000000000002,,Europe
89,Lao People's Democratic Republic,2004,Both sexes,,7.1,,Western Pacific,2004,Both sexes,,1.2,,Western Pacific
90,Latvia,2004,Both sexes,,9.2,,Europe,2004,Both sexes,,1.9,,Europe
95,Lithuania,2004,Both sexes,,8.2,,Europe,2004,Both sexes,,0.7000000000000001,,Europe
96,Luxembourg,2004,Both sexes,,1.2,,Europe,2004,Both sexes,,3.7,,Europe
99,Malaysia,2004,Both sexes,,10.2,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
102,Malta,2004,Both sexes,,0.8,,Europe,2004,Both sexes,,0.2,,Europe
103,Marshall Islands,2004,Both sexes,,1.7000000000000002,,Western Pacific,2004,Both sexes,,0.2,,Western Pacific
107,Micronesia (Federated States of),2004,Both sexes,,0.8,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
108,Monaco,2004,Both sexes,,0.9,,Europe,2004,Both sexes,,2.0,,Europe
109,Mongolia,2004,Both sexes,,3.3,,Western Pacific,2004,Both sexes,,0.8,,Western Pacific
114,Nauru,2004,Both sexes,,12.6,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
116,Netherlands,2004,Both sexes,,1.2,,Europe,2004,Both sexes,,0.9,,Europe
117,New Zealand,2004,Both sexes,,1.4,,Western Pacific,2004,Both sexes,,0.4,,Western Pacific
121,Niue,2004,Both sexes,,1.0,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
122,Norway,2004,Both sexes,,0.8,,Europe,2004,Both sexes,,2.9,,Europe
125,Palau,2004,Both sexes,,0.8,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
127,Papua New Guinea,2004,Both sexes,,19.1,,Western Pacific,2004,Both sexes,,1.1,,Western Pacific
130,Philippines,2004,Both sexes,,24.7,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
131,Poland,2004,Both sexes,,1.4,,Europe,2004,Both sexes,,3.7,,Europe
132,Portugal,2004,Both sexes,,1.6,,Europe,2004,Both sexes,,0.9,,Europe
133,Republic of Korea,2004,Both sexes,,2.0,,Western Pacific,2004,Both sexes,,2.2,,Western Pacific
134,Republic of Moldova,2004,Both sexes,,7.8,,Europe,2004,Both sexes,,2.8,,Europe
135,Romania,2004,Both sexes,,2.9,,Europe,2004,Both sexes,,2.9,,Europe
136,Russian Federation,2004,Both sexes,,26.7,,Europe,2004,Both sexes,,3.5,,Europe
141,Samoa,2004,Both sexes,,1.0,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
147,Slovakia,2004,Both sexes,,1.8,,Europe,2004,Both sexes,,0.0,,Europe
148,Slovenia,2004,Both sexes,,1.9,,Europe,2004,Both sexes,,4.1,,Europe
149,Solomon Islands,2004,Both sexes,,1.2,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
152,Spain,2004,Both sexes,,1.3,,Europe,2004,Both sexes,,0.6000000000000001,,Europe
157,Sweden,2004,Both sexes,,1.3,,Europe,2004,Both sexes,,2.8,,Europe
158,Switzerland,2004,Both sexes,,0.9,,Europe,2004,Both sexes,,2.3,,Europe
160,Tajikistan,2004,Both sexes,,3.3,,Europe,2004,Both sexes,,0.5,,Europe
162,North Macedonia,2004,Both sexes,,5.1,,Europe,2004,Both sexes,,1.8,,Europe
165,Tonga,2004,Both sexes,,0.6000000000000001,,Western Pacific,2004,Both sexes,,0.0,,Western Pacific
168,Turkmenistan,2004,Both sexes,,9.9,,Europe,2004,Both sexes,,5.9,,Europe
169,Tuvalu,2004,Both sexes,,1.9,,Western Pacific,2004,Both sexes,,0.2,,Western Pacific
171,Ukraine,2004,Both sexes,,10.6,,Europe,2004,Both sexes,,3.6,,Europe
173,United Kingdom of Great Britain and Northern Ireland,2004,Both sexes,,2.0,,Europe,2004,Both sexes,,1.4,,Europe
177,Uzbekistan,2004,Both sexes,,4.0,,Europe,2004,Both sexes,,0.3,,Europe
178,Vanuatu,2004,Both sexes,,1.0,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
180,Viet Nam,2004,Both sexes,,4.3,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
