Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation
Syrian Arab Republic,,,2019,Both sexes,633.5135,,Eastern Mediterranean
Chad,,,2019,Both sexes,626.21,,Africa
Togo,,,2019,Both sexes,649.4303,,Africa
Thailand,,,2019,Both sexes,362.563,,South-East Asia
Tajikistan,,,2019,Both sexes,876.12,,Europe
Turkmenistan,,,2019,Both sexes,668.159,,Europe
Timor-Leste,,,2019,Both sexes,570.3933,,South-East Asia
Tonga,,,2019,Both sexes,624.7742,,Western Pacific
Trinidad and Tobago,,,2019,Both sexes,438.9595,,Americas
Tunisia,,,2019,Both sexes,462.4613,,Eastern Mediterranean
Turkey,,,2019,Both sexes,436.8309,,Europe
United Republic of Tanzania,,,2019,Both sexes,496.4681,,Africa
Uganda,,,2019,Both sexes,572.2314,,Africa
Ukraine,,,2019,Both sexes,649.0498,,Europe
Uruguay,,,2019,Both sexes,445.2019,,Americas
United States of America,,,2019,Both sexes,407.882,,Americas
Uzbekistan,,,2019,Both sexes,673.0668,,Europe
Saint Vincent and the Grenadines,,,2019,Both sexes,537.206,,Americas
Venezuela (Bolivarian Republic of),,,2019,Both sexes,411.264,,Americas
Viet Nam,,,2019,Both sexes,569.4175,,Western Pacific
Vanuatu,,,2019,Both sexes,986.3082,,Western Pacific
Samoa,,,2019,Both sexes,765.6934,,Western Pacific
Yemen,,,2019,Both sexes,717.1033,,Eastern Mediterranean
South Africa,,,2019,Both sexes,618.3997,,Africa
Zambia,,,2019,Both sexes,679.4242,,Africa
Zimbabwe,,,2019,Both sexes,734.978,,Africa
,Africa,,2019,Both sexes,587.145,,
,Americas,,2019,Both sexes,410.8346,,
,Eastern Mediterranean,,2019,Both sexes,649.7101,,
,Europe,,2019,Both sexes,427.1472,,
,,High-income,2019,Both sexes,338.1275,,
,,Low-income,2019,Both sexes,640.3605,,
,,Lower-middle-income,2019,Both sexes,588.9854,,
,South-East Asia,,2019,Both sexes,554.6051,,
,,Upper-middle-income,2019,Both sexes,495.9697,,
,Global,,2019,Both sexes,478.7615,,
,Western Pacific,,2019,Both sexes,443.7806,,
