,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
72,Turkmenistan,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,TKM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,28068,,,20555,,37297,28 100 [20 600-37 300],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,TKM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,3285.0,,,2344.0,,4247.0,3285 [2344-4247],,,EN,2024-10-02T22:00:00.000Z
73,Kyrgyzstan,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,KGZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,28483,,,19099,,29222,28 500 [19 100-29 200],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,KGZ,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,3455.0,,,2620.0,,4393.0,3455 [2620-4393],,,EN,2024-10-02T22:00:00.000Z
76,Bahamas,NCD_DTH_TOT,Total NCD Deaths,numeric,AMR,Americas,Country,BHS,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,2838,,,1735,,3062,2840 [1740-3060],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,BHS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,39.12,,,0.0,,78.15,39 [0-78],,,EN,2024-10-02T22:00:00.000Z
78,Suriname,NCD_DTH_TOT,Total NCD Deaths,numeric,AMR,Americas,Country,SUR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,2866,,,1902,,4360,2870 [1900-4360],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,SUR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,205.4,,,109.2,,298.7,205 [109-299],,,EN,2024-10-02T22:00:00.000Z
80,Uruguay,NCD_DTH_TOT,Total NCD Deaths,numeric,AMR,Americas,Country,URY,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,29029,,,23145,,37996,29 000 [23 100-38 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,URY,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1115.0,,,707.9,,1544.0,1115 [708-1544],,,EN,2024-10-02T22:00:00.000Z
81,Ireland,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,IRL,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,29247,,,21391,,38118,29 200 [21 400-38 100],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,IRL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1116.0,,,737.1,,1516.0,1116 [737-1516],,,EN,2024-10-02T22:00:00.000Z
84,Honduras,NCD_DTH_TOT,Total NCD Deaths,numeric,AMR,Americas,Country,HND,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,30810,,,17451,,53252,30 800 [17 500-53 300],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,HND,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,3032.0,,,2169.0,,3942.0,3032 [2169-3942],,,EN,2024-10-02T22:00:00.000Z
85,Republic of Moldova,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,MDA,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,30921,,,23564,,35660,30 900 [23 600-35 700],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,MDA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,3361.0,,,2202.0,,4442.0,3361 [2202-4442],,,EN,2024-10-02T22:00:00.000Z
87,Albania,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,ALB,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,31562,,,23041,,47935,31 600 [23 000-47 900],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,ALB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,3037.0,,,2183.0,,3909.0,3037 [2183-3909],,,EN,2024-10-02T22:00:00.000Z
90,Malta,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,MLT,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,3368,,,2568,,4655,3370 [2570-4660],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,MLT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,241.0,,,170.5,,308.5,241 [171-309],,,EN,2024-10-02T22:00:00.000Z
